id,fraction,r,g,b
r_326_100,0.11570494,114.0,24.0,9.0
r_326_100,0.01621059,213.0,126.0,110.0
r_326_100,0.06811422,60.0,16.0,5.0
r_326_100,0.04431886,147.0,51.0,31.0
r_326_100,0.03138013,182.0,87.0,69.0
r_326_100,0.042682927,130.0,19.0,11.0
r_326_100,0.011600238,185.0,97.0,83.0
r_326_100,0.005651398,183.0,71.0,58.0
r_326_100,0.067221895,87.0,20.0,10.0
r_327_100,0.21653777,152.0,35.0,22.0
r_327_100,0.11451517,113.0,25.0,9.0
r_327_100,0.01621059,212.0,126.0,108.0
r_327_100,0.07212968,60.0,17.0,5.0
r_327_100,0.045508627,146.0,49.0,28.0
r_327_100,0.02959548,181.0,87.0,68.0
r_327_100,0.03747769,130.0,18.0,12.0
r_327_100,0.010113028,185.0,99.0,84.0
r_327_100,0.005800119,183.0,70.0,56.0
r_327_100,0.063057706,87.0,21.0,12.0
r_32_100,0.13831054,147.0,61.0,23.0
r_32_100,0.006841166,215.0,132.0,115.0
r_32_100,0.15377751,164.0,45.0,29.0
r_32_100,0.048483048,186.0,87.0,57.0
r_32_100,0.020226056,173.0,78.0,33.0
r_32_100,0.021564545,163.0,66.0,23.0
r_32_100,0.027513385,186.0,70.0,51.0
r_32_100,0.006692445,170.0,58.0,24.0
r_32_100,0.06276026,111.0,35.0,11.0
r_32_100,0.003866746,182.0,69.0,34.0
r_33_100,0.1323617,144.0,60.0,21.0
r_33_100,0.03271862,174.0,81.0,33.0
r_33_100,0.005800119,215.0,135.0,115.0
r_33_100,0.002825699,239.0,169.0,149.0
r_33_100,0.1479774,164.0,45.0,30.0
r_33_100,0.04476502,188.0,90.0,61.0
r_33_100,0.027662106,162.0,68.0,23.0
r_33_100,0.029149316,185.0,69.0,50.0
r_33_100,0.006692445,172.0,57.0,24.0
r_33_100,0.004312909,183.0,70.0,34.0
r_34_100,0.13444379,144.0,61.0,21.0
r_34_100,0.039113622,175.0,81.0,33.0
r_34_100,0.002528257,239.0,170.0,148.0
r_34_100,0.14411065,164.0,45.0,30.0
r_34_100,0.048334327,188.0,90.0,58.0
r_34_100,0.02215943,161.0,70.0,23.0
r_34_100,0.02543129,187.0,71.0,51.0
r_34_100,0.004164188,181.0,69.0,32.0
r_34_100,0.004907793,172.0,58.0,23.0
r_34_100,0.06499108,110.0,33.0,11.0
r_35_100,0.046847116,175.0,82.0,33.0
r_35_100,0.123587154,144.0,62.0,22.0
r_35_100,0.00594884,217.0,135.0,119.0
r_35_100,0.053242117,186.0,90.0,56.0
r_35_100,0.14723378,165.0,47.0,30.0
r_35_100,0.023051756,160.0,70.0,22.0
r_35_100,0.026621059,186.0,72.0,53.0
r_35_100,0.058893517,109.0,34.0,11.0
r_35_100,0.027067222,119.0,62.0,19.0
r_35_100,0.004164188,211.0,122.0,97.0
r_36_100,0.058596075,175.0,82.0,33.0
r_36_100,0.120910175,144.0,62.0,21.0
r_36_100,0.005800119,217.0,135.0,119.0
r_36_100,0.002676978,243.0,173.0,158.0
r_36_100,0.04610351,77.0,29.0,10.0
r_36_100,0.04759072,188.0,92.0,58.0
r_36_100,0.13994646,164.0,44.0,29.0
r_36_100,0.026621059,187.0,71.0,53.0
r_36_100,0.01799524,159.0,71.0,23.0
r_36_100,0.032123737,120.0,65.0,18.0
r_37_100,0.061867937,174.0,83.0,33.0
r_37_100,0.12299227,145.0,63.0,22.0
r_37_100,0.003569304,241.0,173.0,154.0
r_37_100,0.051754907,189.0,92.0,58.0
r_37_100,0.12908983,164.0,44.0,29.0
r_37_100,0.028108269,186.0,71.0,53.0
r_37_100,0.01784652,158.0,73.0,23.0
r_37_100,0.006692445,208.0,122.0,94.0
r_37_100,0.03271862,122.0,68.0,21.0
r_37_100,0.051308744,109.0,35.0,12.0
r_38_100,0.06811422,175.0,86.0,35.0
r_38_100,0.003123141,243.0,176.0,158.0
r_38_100,0.043723974,77.0,29.0,10.0
r_38_100,0.052944675,190.0,92.0,58.0
r_38_100,0.11154075,146.0,63.0,22.0
r_38_100,0.12254611,164.0,44.0,29.0
r_38_100,0.026621059,188.0,73.0,55.0
r_38_100,0.01635931,155.0,73.0,22.0
r_38_100,0.043426532,128.0,70.0,21.0
r_38_100,0.00594884,210.0,124.0,97.0
r_39_100,0.06543724,176.0,87.0,36.0
r_39_100,0.003569304,240.0,171.0,154.0
r_39_100,0.04476502,77.0,29.0,11.0
r_39_100,0.062908985,189.0,92.0,56.0
r_39_100,0.107674,147.0,62.0,23.0
r_39_100,0.12135634,164.0,44.0,29.0
r_39_100,0.024687685,187.0,73.0,53.0
r_39_100,0.015615705,153.0,75.0,22.0
r_39_100,0.043575253,132.0,74.0,21.0
r_39_100,0.005651398,209.0,122.0,92.0
r_3_100,0.19110648,150.0,34.0,24.0
r_3_100,0.10261749,111.0,19.0,7.0
r_3_100,0.07287329,59.0,15.0,5.0
r_3_100,0.04164188,148.0,55.0,36.0
r_3_100,0.05636526,128.0,17.0,9.0
r_3_100,0.026174895,181.0,85.0,69.0
r_3_100,0.018590124,184.0,93.0,81.0
r_3_100,0.08179655,88.0,17.0,11.0
r_3_100,0.012790006,163.0,108.0,84.0
r_3_100,0.010261749,211.0,121.0,107.0
r_40_100,0.07763236,176.0,90.0,37.0
r_40_100,0.003420583,244.0,174.0,155.0
r_40_100,0.049672812,193.0,95.0,60.0
r_40_100,0.09994051,146.0,61.0,22.0
r_40_100,0.119571686,165.0,44.0,29.0
r_40_100,0.02379536,154.0,73.0,22.0
r_40_100,0.022605592,188.0,72.0,52.0
r_40_100,0.04476502,133.0,77.0,23.0
r_40_100,0.0087745385,212.0,124.0,94.0
r_40_100,0.003866746,160.0,89.0,31.0
r_41_100,0.07852469,177.0,91.0,37.0
r_41_100,0.054134443,193.0,95.0,59.0
r_41_100,0.08953004,145.0,62.0,23.0
r_41_100,0.11986913,165.0,44.0,29.0
r_41_100,0.021564545,154.0,74.0,21.0
r_41_100,0.027215943,188.0,71.0,52.0
r_41_100,0.009815586,211.0,120.0,91.0
r_41_100,0.040898275,132.0,77.0,23.0
r_41_100,0.012492564,145.0,81.0,21.0
r_41_100,0.005651398,163.0,91.0,32.0
r_42_100,0.08045806,176.0,92.0,37.0
r_42_100,0.002676978,240.0,168.0,149.0
r_42_100,0.06380131,191.0,95.0,58.0
r_42_100,0.09057109,146.0,62.0,23.0
r_42_100,0.115110055,164.0,44.0,28.0
r_42_100,0.019036287,155.0,72.0,20.0
r_42_100,0.021713266,188.0,71.0,52.0
r_42_100,0.009369423,212.0,124.0,95.0
r_42_100,0.009220702,162.0,91.0,31.0
r_42_100,0.037775133,131.0,79.0,23.0
r_43_100,0.073914334,179.0,94.0,39.0
r_43_100,0.003569304,237.0,167.0,144.0
r_43_100,0.058893517,192.0,98.0,60.0
r_43_100,0.088488996,145.0,61.0,23.0
r_43_100,0.1125818,165.0,44.0,29.0
r_43_100,0.02364664,161.0,93.0,32.0
r_43_100,0.025728732,191.0,73.0,53.0
r_43_100,0.01189768,212.0,123.0,94.0
r_43_100,0.016508032,156.0,73.0,21.0
r_43_100,0.034800712,129.0,78.0,23.0
r_44_100,0.106484234,156.0,34.0,23.0
r_44_100,0.23111244,252.0,251.0,249.0
r_44_100,0.02959548,53.0,17.0,6.0
r_44_100,0.032272458,147.0,96.0,29.0
r_44_100,0.004759072,108.0,73.0,73.0
r_44_100,0.08938132,135.0,49.0,18.0
r_44_100,0.014574658,127.0,17.0,11.0
r_44_100,0.039411064,114.0,28.0,10.0
r_44_100,0.02825699,117.0,71.0,18.0
r_44_100,0.014277216,39.0,15.0,9.0
r_45_100,0.10588935,156.0,34.0,23.0
r_45_100,0.23616895,252.0,251.0,249.0
r_45_100,0.030041642,52.0,17.0,6.0
r_45_100,0.018590124,30.0,17.0,12.0
r_45_100,0.040898275,148.0,97.0,30.0
r_45_100,0.003271862,187.0,152.0,150.0
r_45_100,0.081052944,136.0,49.0,19.0
r_45_100,0.01635931,126.0,17.0,11.0
r_45_100,0.03718025,113.0,30.0,12.0
r_45_100,0.027959548,117.0,70.0,17.0
r_46_100,0.10261749,157.0,34.0,23.0
r_46_100,0.23720999,252.0,251.0,249.0
r_46_100,0.032123737,52.0,16.0,6.0
r_46_100,0.050118975,151.0,100.0,31.0
r_46_100,0.018887566,29.0,16.0,11.0
r_46_100,0.00446163,110.0,73.0,73.0
r_46_100,0.08343248,134.0,47.0,17.0
r_46_100,0.0121951215,129.0,14.0,11.0
r_46_100,0.035246875,114.0,29.0,10.0
r_46_100,0.024092803,118.0,73.0,18.0
r_47_100,0.09176086,157.0,34.0,24.0
r_47_100,0.23854849,252.0,251.0,250.0
r_47_100,0.028851874,53.0,15.0,6.0
r_47_100,0.065734684,151.0,102.0,32.0
r_47_100,0.004015467,186.0,149.0,149.0
r_47_100,0.08209399,135.0,49.0,17.0
r_47_100,0.015318263,127.0,17.0,13.0
r_47_100,0.024092803,118.0,72.0,17.0
r_47_100,0.03242118,114.0,28.0,12.0
r_47_100,0.007882213,170.0,48.0,21.0
r_48_100,0.088340275,157.0,34.0,24.0
r_48_100,0.24063058,252.0,251.0,250.0
r_48_100,0.030487806,52.0,15.0,5.0
r_48_100,0.064247474,153.0,106.0,34.0
r_48_100,0.0835812,136.0,48.0,17.0
r_48_100,0.015615705,127.0,17.0,11.0
r_48_100,0.030339085,113.0,28.0,11.0
r_48_100,0.02230815,118.0,73.0,17.0
r_48_100,0.007882213,171.0,48.0,20.0
r_48_100,0.013533611,39.0,14.0,9.0
r_49_100,0.0856633,158.0,34.0,25.0
r_49_100,0.24345627,252.0,251.0,249.0
r_49_100,0.029298037,51.0,15.0,4.0
r_49_100,0.06632957,155.0,108.0,35.0
r_49_100,0.004312909,91.0,78.0,74.0
r_49_100,0.08239143,136.0,48.0,16.0
r_49_100,0.015913147,126.0,17.0,12.0
r_49_100,0.02230815,118.0,71.0,18.0
r_49_100,0.024985127,111.0,29.0,11.0
r_49_100,0.014723379,39.0,14.0,9.0
r_4_100,0.18679358,150.0,34.0,23.0
r_4_100,0.07138608,58.0,15.0,4.0
r_4_100,0.043872695,147.0,54.0,37.0
r_4_100,0.1020226,111.0,19.0,8.0
r_4_100,0.058298633,129.0,17.0,10.0
r_4_100,0.02364664,184.0,88.0,71.0
r_4_100,0.01799524,182.0,93.0,81.0
r_4_100,0.07644259,89.0,18.0,12.0
r_4_100,0.01189768,159.0,105.0,81.0
r_4_100,0.007138608,183.0,72.0,60.0
r_50_100,0.08744795,158.0,34.0,24.0
r_50_100,0.24583581,252.0,251.0,249.0
r_50_100,0.030487806,53.0,15.0,6.0
r_50_100,0.067073174,156.0,110.0,37.0
r_50_100,0.003866746,187.0,149.0,148.0
r_50_100,0.003123141,113.0,75.0,75.0
r_50_100,0.08491969,135.0,49.0,18.0
r_50_100,0.012343843,126.0,16.0,12.0
r_50_100,0.020523498,117.0,71.0,17.0
r_50_100,0.027215943,114.0,29.0,12.0
r_51_100,0.088488996,158.0,34.0,24.0
r_51_100,0.24762046,252.0,251.0,250.0
r_51_100,0.029892921,53.0,16.0,6.0
r_51_100,0.067370616,156.0,110.0,37.0
r_51_100,0.009518144,140.0,107.0,42.0
r_51_100,0.08016062,135.0,50.0,17.0
r_51_100,0.012790006,127.0,16.0,13.0
r_51_100,0.021861987,118.0,72.0,19.0
r_51_100,0.026323617,114.0,30.0,11.0
r_51_100,0.01635931,38.0,13.0,8.0
r_52_100,0.081201665,158.0,34.0,24.0
r_52_100,0.25133848,252.0,251.0,250.0
r_52_100,0.030933969,53.0,15.0,5.0
r_52_100,0.07599643,159.0,113.0,40.0
r_52_100,0.01041047,139.0,108.0,42.0
r_52_100,0.003569304,150.0,111.0,111.0
r_52_100,0.076740034,135.0,51.0,18.0
r_52_100,0.01041047,127.0,16.0,11.0
r_52_100,0.027364664,113.0,27.0,10.0
r_52_100,0.021713266,117.0,70.0,18.0
r_53_100,0.07629387,159.0,34.0,24.0
r_53_100,0.2543129,252.0,251.0,250.0
r_53_100,0.03271862,53.0,15.0,5.0
r_53_100,0.0771862,157.0,111.0,37.0
r_53_100,0.004164188,189.0,153.0,152.0
r_53_100,0.08090422,133.0,51.0,16.0
r_53_100,0.010707912,128.0,17.0,12.0
r_53_100,0.0297442,113.0,28.0,10.0
r_53_100,0.008477097,164.0,45.0,17.0
r_53_100,0.01189768,150.0,114.0,40.0
r_54_100,0.07168352,158.0,33.0,24.0
r_54_100,0.2571386,252.0,251.0,250.0
r_54_100,0.033313505,52.0,14.0,5.0
r_54_100,0.016954195,153.0,118.0,43.0
r_54_100,0.005205235,184.0,149.0,147.0
r_54_100,0.07882213,134.0,52.0,17.0
r_54_100,0.010113028,125.0,16.0,10.0
r_54_100,0.07331945,157.0,112.0,38.0
r_54_100,0.02528257,118.0,72.0,21.0
r_54_100,0.02959548,112.0,28.0,11.0
r_55_100,0.072427124,159.0,34.0,24.0
r_55_100,0.2592207,252.0,251.0,250.0
r_55_100,0.034503274,52.0,15.0,4.0
r_55_100,0.016508032,155.0,118.0,44.0
r_55_100,0.004015467,186.0,150.0,147.0
r_55_100,0.081201665,134.0,52.0,16.0
r_55_100,0.009518144,128.0,16.0,10.0
r_55_100,0.07004759,158.0,112.0,38.0
r_55_100,0.01621059,37.0,12.0,7.0
r_55_100,0.026472338,110.0,29.0,10.0
r_56_100,0.06811422,158.0,33.0,24.0
r_56_100,0.26338488,252.0,251.0,250.0
r_56_100,0.036734086,52.0,14.0,4.0
r_56_100,0.01948245,155.0,119.0,44.0
r_56_100,0.007882213,108.0,80.0,25.0
r_56_100,0.002825699,150.0,114.0,113.0
r_56_100,0.011451517,127.0,15.0,12.0
r_56_100,0.07480666,135.0,52.0,17.0
r_56_100,0.007138608,167.0,48.0,18.0
r_56_100,0.05933968,157.0,111.0,36.0
r_57_100,0.064396195,158.0,33.0,24.0
r_57_100,0.26591316,252.0,251.0,250.0
r_57_100,0.031826295,53.0,15.0,6.0
r_57_100,0.01799524,152.0,118.0,42.0
r_57_100,0.022903034,118.0,72.0,20.0
r_57_100,0.02215943,39.0,12.0,8.0
r_57_100,0.010261749,126.0,16.0,13.0
r_57_100,0.008030934,167.0,47.0,19.0
r_57_100,0.057257585,160.0,113.0,38.0
r_57_100,0.028554432,113.0,31.0,13.0
r_58_100,0.056216538,159.0,33.0,24.0
r_58_100,0.269185,252.0,251.0,250.0
r_58_100,0.020226056,153.0,119.0,42.0
r_58_100,0.032272458,52.0,14.0,5.0
r_58_100,0.004610351,183.0,147.0,144.0
r_58_100,0.010856633,164.0,43.0,15.0
r_58_100,0.022903034,39.0,13.0,9.0
r_58_100,0.009815586,126.0,14.0,12.0
r_58_100,0.07733492,133.0,51.0,18.0
r_58_100,0.019928614,118.0,70.0,17.0
r_59_100,0.057406306,159.0,33.0,23.0
r_59_100,0.27126712,252.0,252.0,250.0
r_59_100,0.038072575,53.0,14.0,5.0
r_59_100,0.01933373,153.0,120.0,44.0
r_59_100,0.004312909,184.0,146.0,145.0
r_59_100,0.019928614,39.0,12.0,8.0
r_59_100,0.0087745385,126.0,15.0,10.0
r_59_100,0.071088634,134.0,51.0,17.0
r_59_100,0.005800119,164.0,42.0,16.0
r_59_100,0.019779893,118.0,71.0,21.0
r_5_100,0.18560381,149.0,34.0,23.0
r_5_100,0.098155856,112.0,20.0,9.0
r_5_100,0.019036287,183.0,92.0,81.0
r_5_100,0.067370616,59.0,15.0,5.0
r_5_100,0.04015467,148.0,53.0,36.0
r_5_100,0.0623141,129.0,18.0,9.0
r_5_100,0.022754313,183.0,87.0,70.0
r_5_100,0.08045806,87.0,18.0,12.0
r_5_100,0.009964307,212.0,123.0,108.0
r_5_100,0.022010708,151.0,66.0,55.0
r_60_100,0.05636526,159.0,34.0,23.0
r_60_100,0.27379537,252.0,252.0,250.0
r_60_100,0.03732897,52.0,14.0,5.0
r_60_100,0.016805474,155.0,120.0,44.0
r_60_100,0.021564545,116.0,71.0,19.0
r_60_100,0.004015467,186.0,148.0,146.0
r_60_100,0.022010708,39.0,13.0,9.0
r_60_100,0.009369423,128.0,16.0,11.0
r_60_100,0.044021416,159.0,112.0,37.0
r_60_100,0.07346817,137.0,50.0,18.0
r_61_100,0.053242117,160.0,34.0,23.0
r_61_100,0.27572873,252.0,252.0,250.0
r_61_100,0.038518738,52.0,13.0,5.0
r_61_100,0.015764426,155.0,121.0,43.0
r_61_100,0.003718025,133.0,119.0,116.0
r_61_100,0.003420583,107.0,74.0,72.0
r_61_100,0.019185008,176.0,138.0,55.0
r_61_100,0.021267103,39.0,12.0,8.0
r_61_100,0.07450922,134.0,49.0,17.0
r_61_100,0.007287329,127.0,15.0,10.0
r_62_100,0.046995837,159.0,34.0,24.0
r_62_100,0.2770672,252.0,251.0,250.0
r_62_100,0.037923854,53.0,14.0,5.0
r_62_100,0.028108269,177.0,140.0,59.0
r_62_100,0.014574658,158.0,124.0,46.0
r_62_100,0.021713266,39.0,12.0,8.0
r_62_100,0.0060975607,164.0,40.0,15.0
r_62_100,0.008030934,127.0,16.0,13.0
r_62_100,0.027959548,113.0,32.0,11.0
r_62_100,0.071237355,134.0,49.0,19.0
r_63_100,0.04759072,157.0,33.0,22.0
r_63_100,0.27855444,252.0,252.0,250.0
r_63_100,0.027215943,174.0,141.0,58.0
r_63_100,0.039411064,52.0,14.0,5.0
r_63_100,0.02364664,38.0,12.0,8.0
r_63_100,0.01189768,156.0,123.0,45.0
r_63_100,0.008030934,128.0,17.0,14.0
r_63_100,0.027959548,112.0,33.0,11.0
r_63_100,0.06528852,132.0,50.0,17.0
r_63_100,0.020226056,115.0,71.0,19.0
r_64_100,0.045211185,157.0,33.0,22.0
r_64_100,0.2803391,252.0,251.0,250.0
r_64_100,0.028554432,178.0,143.0,60.0
r_64_100,0.039708506,51.0,14.0,5.0
r_64_100,0.00446163,131.0,119.0,115.0
r_64_100,0.025728732,38.0,12.0,8.0
r_64_100,0.011748959,158.0,125.0,47.0
r_64_100,0.008328376,128.0,17.0,13.0
r_64_100,0.06350387,132.0,49.0,17.0
r_64_100,0.027513385,113.0,33.0,12.0
r_65_100,0.042682927,157.0,32.0,23.0
r_65_100,0.28093398,252.0,251.0,250.0
r_65_100,0.030785248,177.0,143.0,62.0
r_65_100,0.039857227,52.0,14.0,5.0
r_65_100,0.003420583,185.0,149.0,147.0
r_65_100,0.023200477,39.0,11.0,7.0
r_65_100,0.009220702,156.0,124.0,46.0
r_65_100,0.0623141,132.0,49.0,16.0
r_65_100,0.022903034,117.0,71.0,19.0
r_65_100,0.029298037,114.0,34.0,11.0
r_66_100,0.039857227,158.0,33.0,22.0
r_66_100,0.2812314,252.0,252.0,250.0
r_66_100,0.0361392,178.0,144.0,61.0
r_66_100,0.041344438,51.0,13.0,5.0
r_66_100,0.004312909,184.0,148.0,147.0
r_66_100,0.024390243,38.0,12.0,7.0
r_66_100,0.01041047,155.0,123.0,44.0
r_66_100,0.058893517,131.0,49.0,16.0
r_66_100,0.0297442,115.0,34.0,12.0
r_66_100,0.030190364,75.0,39.0,26.0
r_67_100,0.04149316,158.0,33.0,21.0
r_67_100,0.28093398,252.0,252.0,250.0
r_67_100,0.035395596,179.0,145.0,64.0
r_67_100,0.037923854,53.0,14.0,6.0
r_67_100,0.029000595,38.0,12.0,7.0
r_67_100,0.01189768,156.0,125.0,45.0
r_67_100,0.057555027,130.0,51.0,16.0
r_67_100,0.030190364,113.0,34.0,11.0
r_67_100,0.019185008,31.0,16.0,13.0
r_67_100,0.027364664,75.0,38.0,25.0
r_68_100,0.038221296,157.0,33.0,21.0
r_68_100,0.28063652,252.0,252.0,250.0
r_68_100,0.0389649,181.0,147.0,65.0
r_68_100,0.037031528,52.0,13.0,5.0
r_68_100,0.03108269,113.0,34.0,13.0
r_68_100,0.015764426,151.0,121.0,42.0
r_68_100,0.022605592,38.0,12.0,6.0
r_68_100,0.025133848,30.0,16.0,11.0
r_68_100,0.054283164,130.0,51.0,17.0
r_68_100,0.016061869,117.0,69.0,19.0
r_69_100,0.27914932,252.0,252.0,250.0
r_69_100,0.036436643,159.0,34.0,23.0
r_69_100,0.03718025,179.0,146.0,64.0
r_69_100,0.04030339,52.0,13.0,5.0
r_69_100,0.031677574,111.0,33.0,12.0
r_69_100,0.025728732,38.0,11.0,7.0
r_69_100,0.011005354,155.0,124.0,44.0
r_69_100,0.051754907,131.0,52.0,18.0
r_69_100,0.022605592,29.0,15.0,11.0
r_69_100,0.027067222,75.0,38.0,26.0
r_6_100,0.19303986,150.0,34.0,23.0
r_6_100,0.10113028,112.0,20.0,9.0
r_6_100,0.07599643,60.0,15.0,5.0
r_6_100,0.04298037,147.0,53.0,34.0
r_6_100,0.05963712,129.0,18.0,11.0
r_6_100,0.024538964,182.0,87.0,70.0
r_6_100,0.017400356,183.0,93.0,81.0
r_6_100,0.07644259,87.0,17.0,10.0
r_6_100,0.011302796,214.0,125.0,110.0
r_6_100,0.004164188,184.0,73.0,65.0
r_70_100,0.27810827,252.0,252.0,250.0
r_70_100,0.033164784,158.0,34.0,22.0
r_70_100,0.039113622,180.0,148.0,66.0
r_70_100,0.0417906,51.0,13.0,5.0
r_70_100,0.013682332,151.0,121.0,43.0
r_70_100,0.025580011,38.0,11.0,6.0
r_70_100,0.05339084,130.0,51.0,16.0
r_70_100,0.033164784,113.0,34.0,12.0
r_70_100,0.02230815,29.0,15.0,12.0
r_70_100,0.01635931,120.0,70.0,18.0
r_71_100,0.2767698,252.0,252.0,250.0
r_71_100,0.029446758,157.0,34.0,21.0
r_71_100,0.042534206,184.0,150.0,68.0
r_71_100,0.034949433,52.0,12.0,5.0
r_71_100,0.02959548,38.0,11.0,6.0
r_71_100,0.058744796,129.0,50.0,17.0
r_71_100,0.011748959,157.0,121.0,46.0
r_71_100,0.024538964,29.0,16.0,13.0
r_71_100,0.0325699,114.0,33.0,11.0
r_71_100,0.004759072,162.0,45.0,17.0
r_72_100,0.27572873,252.0,251.0,250.0
r_72_100,0.046995837,185.0,151.0,69.0
r_72_100,0.02543129,157.0,33.0,20.0
r_72_100,0.042088043,51.0,14.0,5.0
r_72_100,0.027810827,38.0,10.0,5.0
r_72_100,0.058298633,130.0,50.0,16.0
r_72_100,0.030339085,29.0,17.0,12.0
r_72_100,0.00594884,162.0,43.0,15.0
r_72_100,0.00892326,159.0,124.0,46.0
r_72_100,0.031826295,113.0,34.0,12.0
r_73_100,0.27468768,253.0,251.0,250.0
r_73_100,0.04312909,185.0,150.0,67.0
r_73_100,0.023944082,157.0,34.0,22.0
r_73_100,0.039559785,51.0,13.0,5.0
r_73_100,0.029149316,38.0,11.0,6.0
r_73_100,0.058744796,130.0,50.0,17.0
r_73_100,0.03405711,30.0,17.0,12.0
r_73_100,0.0060975607,161.0,39.0,13.0
r_73_100,0.008477097,157.0,123.0,44.0
r_73_100,0.029892921,113.0,33.0,11.0
r_74_100,0.2720107,253.0,251.0,250.0
r_74_100,0.02528257,154.0,33.0,21.0
r_74_100,0.044913743,184.0,151.0,68.0
r_74_100,0.034949433,51.0,13.0,5.0
r_74_100,0.033016063,38.0,11.0,5.0
r_74_100,0.04015467,29.0,17.0,12.0
r_74_100,0.055621654,131.0,49.0,17.0
r_74_100,0.008625818,153.0,122.0,43.0
r_74_100,0.030190364,113.0,33.0,11.0
r_74_100,0.004610351,165.0,47.0,17.0
r_75_100,0.2697799,253.0,251.0,250.0
r_75_100,0.04327781,182.0,152.0,69.0
r_75_100,0.021713266,156.0,33.0,22.0
r_75_100,0.034800712,52.0,14.0,7.0
r_75_100,0.002676978,189.0,151.0,151.0
r_75_100,0.034949433,38.0,11.0,6.0
r_75_100,0.04312909,28.0,16.0,12.0
r_75_100,0.056216538,132.0,50.0,16.0
r_75_100,0.034354553,114.0,34.0,10.0
r_75_100,0.00743605,151.0,121.0,43.0
r_76_100,0.26948246,253.0,252.0,250.0
r_76_100,0.022754313,156.0,34.0,21.0
r_76_100,0.045062464,184.0,151.0,71.0
r_76_100,0.03569304,51.0,14.0,7.0
r_76_100,0.03138013,38.0,10.0,5.0
r_76_100,0.048036885,28.0,15.0,12.0
r_76_100,0.05636526,133.0,51.0,17.0
r_76_100,0.03718025,113.0,33.0,10.0
r_76_100,0.007584771,152.0,120.0,43.0
r_76_100,0.033610947,74.0,37.0,26.0
r_77_100,0.26754907,253.0,251.0,250.0
r_77_100,0.04312909,186.0,153.0,72.0
r_77_100,0.04164188,52.0,13.0,6.0
r_77_100,0.018292682,155.0,33.0,20.0
r_77_100,0.033462226,38.0,11.0,6.0
r_77_100,0.049672812,27.0,14.0,11.0
r_77_100,0.057555027,133.0,50.0,16.0
r_77_100,0.035246875,114.0,33.0,11.0
r_77_100,0.008328376,152.0,122.0,44.0
r_77_100,0.005651398,165.0,40.0,17.0
r_78_100,0.2656157,253.0,251.0,250.0
r_78_100,0.04000595,186.0,154.0,72.0
r_78_100,0.039411064,52.0,13.0,5.0
r_78_100,0.018292682,154.0,33.0,20.0
r_78_100,0.058298633,26.0,14.0,9.0
r_78_100,0.031826295,37.0,10.0,6.0
r_78_100,0.058893517,133.0,48.0,18.0
r_78_100,0.03718025,113.0,31.0,11.0
r_78_100,0.007584771,156.0,123.0,45.0
r_78_100,0.004759072,161.0,37.0,14.0
r_79_100,0.26397976,252.0,251.0,250.0
r_79_100,0.03599048,187.0,155.0,72.0
r_79_100,0.019779893,154.0,32.0,21.0
r_79_100,0.04045211,52.0,13.0,5.0
r_79_100,0.034949433,38.0,10.0,6.0
r_79_100,0.06067817,26.0,15.0,10.0
r_79_100,0.058744796,133.0,48.0,18.0
r_79_100,0.03569304,113.0,33.0,11.0
r_79_100,0.00743605,156.0,122.0,45.0
r_79_100,0.030339085,76.0,38.0,28.0
r_7_100,0.19854254,150.0,34.0,23.0
r_7_100,0.103807256,113.0,21.0,9.0
r_7_100,0.07004759,60.0,16.0,6.0
r_7_100,0.060380727,128.0,18.0,11.0
r_7_100,0.039262343,149.0,54.0,35.0
r_7_100,0.023349198,180.0,86.0,69.0
r_7_100,0.016508032,187.0,94.0,83.0
r_7_100,0.015913147,214.0,125.0,110.0
r_7_100,0.07569899,87.0,18.0,12.0
r_7_100,0.004610351,182.0,70.0,63.0
r_80_100,0.26293874,253.0,251.0,249.0
r_80_100,0.03762641,188.0,155.0,72.0
r_80_100,0.018292682,156.0,33.0,20.0
r_80_100,0.042385485,52.0,14.0,7.0
r_80_100,0.03732897,37.0,10.0,5.0
r_80_100,0.060232006,27.0,13.0,9.0
r_80_100,0.05785247,133.0,47.0,16.0
r_80_100,0.03599048,112.0,31.0,8.0
r_80_100,0.029446758,75.0,38.0,25.0
r_80_100,0.005502677,159.0,123.0,45.0
r_81_100,0.2607079,253.0,251.0,250.0
r_81_100,0.034949433,188.0,156.0,73.0
r_81_100,0.04045211,52.0,14.0,7.0
r_81_100,0.0121951215,153.0,32.0,19.0
r_81_100,0.03762641,38.0,10.0,6.0
r_81_100,0.0651398,26.0,13.0,9.0
r_81_100,0.05770375,132.0,47.0,16.0
r_81_100,0.037031528,113.0,31.0,10.0
r_81_100,0.005205235,163.0,41.0,16.0
r_81_100,0.03375967,75.0,38.0,27.0
r_82_100,0.25951815,253.0,251.0,249.0
r_82_100,0.036287922,186.0,156.0,72.0
r_82_100,0.04045211,52.0,13.0,7.0
r_82_100,0.06915527,25.0,14.0,9.0
r_82_100,0.012641285,154.0,34.0,20.0
r_82_100,0.034651995,37.0,9.0,5.0
r_82_100,0.06067817,135.0,47.0,17.0
r_82_100,0.03718025,112.0,32.0,9.0
r_82_100,0.018887566,208.0,175.0,93.0
r_82_100,0.031677574,74.0,37.0,26.0
r_83_100,0.25832838,252.0,251.0,249.0
r_83_100,0.045508627,52.0,13.0,4.0
r_83_100,0.0325699,189.0,158.0,76.0
